Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP,Population, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling,Status
49.9,451.0,16.0,0.01,52.37766601,23.0,596.0,21.6,23.0,23.0,3.82,23.0,5.1,337.4849614,4499653.0,8.5,8.5,0.37,7.1,Developing
72.3,161.0,3.0,5.61,26.18072382,92.0,0.0,43.5,4.0,98.0,6.43,98.0,0.2,189.71539,5882796.0,2.2,2.2,0.648,12.1,Developing
53.0,432.0,72.0,1.43,36.29775249,73.0,20.0,15.9,112.0,73.0,4.29,73.0,13.2,458.8843551,3574931.0,8.7,8.6,0.461,8.9,Developing
53.5,38.0,5.0,2.58,13.52999556,80.94046121593291,3526.0,19.6,8.0,69.0,5.41,64.0,5.0,393.3138244,135345.0,9.4,9.3,0.0,7.7,Developing
73.3,15.0,1.0,3.73,104.5169157,96.0,16.0,46.9,1.0,98.0,6.3,98.0,0.1,1453.642777,3511.0,2.0,2.1,0.67,10.7,Developing
81.6,61.0,2.0,7.25,5243.316638,96.0,351.0,6.5,2.0,96.0,9.41,96.0,0.1,36976.84512,5995365.0,0.5,0.5,0.868,16.3,Developed
52.1,522.0,4.0,0.01,162.1278115,93.0,0.0,32.0,6.0,9.0,1.62,93.0,9.4,1174.839214,2145785.0,5.8,5.6,0.491,10.8,Developing
78.7,16.0,25.0,8.67,0.0,91.0,220.0,67.5,29.0,94.0,17.6,96.0,0.1,7483.158469138474,12753375.120052494,0.7,0.6,0.6275510645976182,11.992792792792793,Developed
72.7,135.0,24.0,0.02,0.0,99.0,127.0,51.4,28.0,99.0,6.28,99.0,0.1,7483.158469138474,12753375.120052494,7.6,7.8,0.716,12.1,Developing
74.0,133.0,11.0,4.29,516.4037021,93.0,0.0,5.2,15.0,93.0,4.6,93.0,0.3,3611.2147,28292724.0,1.2,1.2,0.696,13.2,Developing
72.6,138.0,1.0,0.38,62.86657508,99.0,15.0,45.9,1.0,99.0,3.7,99.0,0.1,861.18596,12753375.120052494,7.2,6.9,0.0,10.4,Developing
53.6,29.0,57.0,0.55,60.21211141,83.0,33.0,18.0,101.0,78.0,6.34,77.0,1.9,487.942556,12798763.0,9.9,9.7,0.338,5.8,Developing
51.2,391.0,253.0,0.88,11.59481766,80.94046121593291,1660.0,12.3,404.0,55.0,4.36,3.0,5.0,123.876257,66537331.0,11.9,11.8,0.0,3.9,Developing
74.9,113.0,0.0,3.85,143.2947487,80.94046121593291,0.0,48.2,0.0,92.0,7.16,91.0,0.1,1524.41222,3771284.0,3.2,3.2,0.0,11.6,Developing
64.0,37.0,11.0,0.84,12.05551997,63.0,1222.0,41.1,15.0,61.0,6.42,72.0,1.5,77.5773486,631479.0,1.4,1.4,0.446,7.9,Developing
65.0,211.0,0.0,0.68,188.7108773,96.0,0.0,73.4,0.0,93.0,13.66,94.0,0.1,1357.632211,96311.0,0.2,0.1,0.574,11.8,Developing
