Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling,Status
76.1,73.0,0.0,1.93,266.7696122,0.0,6.1,0.0,99.0,3.64,99.0,0.1,6.0,5.9,0.81,14.4,0
65.4,192.0,18.0,3.52,0.0,0.0,25.2,25.0,93.0,5.9381895280235995,56.0,0.1,6.0,6.0,0.6275510645976182,11.992792792792793,0
58.8,279.0,74.0,0.01,79.67936736,1989.0,16.7,102.0,66.0,9.2,66.0,0.1,18.4,18.4,0.448,9.2,0
51.2,391.0,253.0,0.88,11.59481766,1660.0,12.3,404.0,55.0,4.36,3.0,5.0,11.9,11.8,0.0,3.9,0
72.1,186.0,0.0,7.91,12.94324581,0.0,29.2,0.0,99.0,4.17,99.0,0.1,6.0,6.4,0.715,12.3,0
74.6,152.0,8.0,6.41,789.0772949,0.0,32.4,10.0,99.0,4.12,99.0,0.1,7.8,7.8,0.737,13.6,0
71.0,174.0,6.0,2.61,28.80831098,0.0,38.8,8.0,88.0,6.63,94.0,1.7,2.8,2.7,0.551,9.8,0
48.9,38.0,31.0,4.602860787172012,0.0,0.0,38.321246556473824,50.0,82.55018842069202,5.9381895280235995,82.32408359027065,2.7,4.839703856749312,4.870316804407714,0.0,0.0,0
73.0,142.0,6.0,0.01,0.0,3.0,32.4,8.0,99.0,5.9381895280235995,93.0,0.1,4.9,4.9,0.6275510645976182,11.992792792792793,0
48.9,418.0,26.0,3.78,54.6659175,1865.0,22.2,38.0,88.0,11.98,89.0,1.3,8.1,8.0,0.392,8.9,0
77.3,11.0,0.0,11.54,650.9813544,0.0,53.9,0.0,96.0,9.51,96.0,0.1,1.2,1.0,0.882,16.3,1
45.9,511.0,17.0,1.5,40.92207976,471.0,18.2,26.0,47.0,4.29,54.0,11.2,9.7,9.7,0.319,5.9,0
67.9,228.0,1.0,0.28,244.0391949,21.0,2.3,1.0,92.0,5.17,91.0,0.5,16.6,17.3,0.0,11.4,0
74.9,17.0,0.0,1.16,0.0,701.0,57.9,0.0,97.0,6.61,96.0,0.1,2.2,2.3,0.735,12.9,0
48.2,632.0,30.0,3.56,20.84342867,0.0,28.6,46.0,75.0,4.96,75.0,20.5,7.8,7.8,0.421,9.7,0
70.0,226.0,0.0,14.09,434.7985025,0.0,58.7,1.0,98.0,6.9,96.0,0.1,2.1,2.2,0.771,15.4,0
62.3,294.0,2.0,8.85,145.318282,1.0,33.5,3.0,68.0,3.41,67.0,7.0,6.5,6.4,0.66,12.5,0
79.6,73.0,0.0,6.2,3689.7273,59.0,52.8,0.0,99.0,8.18,99.0,0.1,1.4,1.3,0.873,15.9,1
52.4,335.0,66.0,4.602860787172012,0.0,118.0,23.3,98.0,7.0,5.9381895280235995,64.0,1.9,8.3,8.2,0.531,11.4,0
68.4,154.0,6.0,0.62,8.59680496,827.0,44.2,8.0,78.0,7.92,77.0,0.1,3.0,3.0,0.668,11.0,0
56.9,368.0,8.0,2.25,0.0,126.0,22.3,12.0,73.0,2.37,73.0,5.5,8.7,8.3,0.507,9.6,0
77.8,11.0,2.0,6.06,675.7808443,0.0,55.4,3.0,97.0,6.48,97.0,0.1,1.0,1.0,0.768,13.9,0
58.1,299.0,27.0,0.01,50.57976483,175.0,22.7,41.0,42.0,5.64,51.0,0.5,7.5,7.4,0.412,8.6,0
73.7,115.0,4.0,0.41,67.70171064,3.0,63.2,4.0,98.0,8.0,98.0,0.1,3.9,3.9,0.735,12.9,0
69.2,197.0,0.0,0.01,401.7931045,0.0,59.5,0.0,99.0,4.6,99.0,0.1,4.0,3.7,0.709,14.7,0
55.5,278.0,55.0,0.57,102.1413744,98.0,19.6,94.0,74.0,6.74,74.0,1.6,9.2,9.0,0.36,5.8,0
77.8,79.0,0.0,5.62,130.0150391,2.0,62.8,0.0,95.0,7.11,95.0,0.1,0.7,0.7,0.783,13.7,1
71.8,165.0,0.0,3.73,502.3844946,3.0,28.6,0.0,98.0,4.38,97.0,0.1,7.6,7.5,0.713,13.4,0
79.9,84.0,2.0,6.76,2260.777642,0.0,61.8,2.0,9.0,7.24,9.0,0.1,0.8,0.8,0.826,15.5,0
