Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling,Status
52.1,3.0,5.0,2.84,6.699418747,0.0,17.4,9.0,52.0,4.94,49.0,3.1,1.2,1.2,0.0,6.4,0
62.0,347.0,42.0,7.38,922.0507313,66.0,5.3,52.0,77.0,8.8,77.0,3.7,4.9,5.9,0.66,13.0,0
83.5,57.0,2.0,0.01,88.83362243,462.0,28.6,3.0,99.0,1.23,96.0,0.1,2.0,1.7,0.899,15.3,1
76.0,176.0,0.0,6.5,144.9850711,0.0,43.0,0.0,91.0,5.6,9.0,0.4,5.9,6.2,0.774,12.6,0
58.6,271.0,41.0,4.75,78.76987363,7362.0,17.7,68.0,9.0,5.33,9.0,0.8,8.6,8.1,0.384,7.2,0
74.5,145.0,3.0,8.02,516.0554391,34.0,54.0,3.0,98.0,6.32,99.0,0.1,2.5,2.6,0.79,15.0,1
83.2,51.0,0.0,9.61,19479.91161,23.0,57.0,0.0,96.0,11.66,96.0,0.1,0.4,0.3,0.936,15.9,1
79.1,89.0,2.0,7.93,177.4925143,0.0,6.6,2.0,92.0,6.97,92.0,0.1,0.8,0.9,0.815,15.2,0
68.0,176.0,0.0,1.73,0.0,0.0,64.1,0.0,81.0,11.92,67.0,0.1,0.2,0.2,0.622,10.9,0
71.8,172.0,88.0,6.95,15.85781237,2.0,46.1,100.0,99.0,6.94,99.0,0.1,3.3,3.3,0.699,14.8,0
78.7,69.0,0.0,6.53,203.3157499,4.0,64.5,0.0,89.0,8.46,89.0,0.1,0.7,0.7,0.797,14.2,1
71.2,142.0,31.0,0.01,0.0,9554.0,46.2,37.0,99.0,5.39,99.0,0.1,7.6,7.7,0.674,11.9,0
75.4,124.0,44.0,4.9,920.8284115,64.0,55.7,52.0,98.0,6.11,98.0,0.1,1.8,1.8,0.714,12.1,0
74.7,12.0,3.0,1.4,585.6307861,1.0,55.6,3.0,99.0,6.18,99.0,0.1,6.3,6.3,0.706,14.4,0
52.1,425.0,74.0,1.03,53.9502789,267.0,19.3,108.0,75.0,5.25,75.0,14.1,3.8,3.7,0.36,8.2,0
64.4,28.0,9.0,0.01,0.0,32.0,19.4,12.0,78.0,2.12,79.0,0.3,9.1,9.2,0.554,10.2,0
59.4,288.0,41.0,1.7,129.0263364,420.0,23.0,62.0,84.0,4.64,84.0,2.9,7.9,7.9,0.51,8.7,0
77.7,12.0,1.0,4.09,1043.10795,0.0,49.3,1.0,9.0,7.8,9.0,0.1,2.1,2.0,0.719,12.2,0
61.1,314.0,28.0,0.01,196.6675768,9.0,22.8,41.0,78.0,4.99,86.0,4.3,6.3,6.2,0.57,12.5,0
75.3,83.0,20.0,0.01,0.0,189.0,57.2,23.0,98.0,6.49,98.0,0.1,8.2,8.3,0.769,15.0,0
73.7,144.0,1.0,10.67,875.1495189,157.0,63.3,1.0,95.0,6.88,95.0,0.1,2.0,2.0,0.775,14.2,1
65.4,228.0,37.0,0.01,0.0,815.0,4.4,47.0,67.0,5.64,73.0,0.1,13.7,13.5,0.5,9.0,0
81.0,66.0,0.0,6.59,15268.06445,3.0,58.9,0.0,93.0,9.26,93.0,0.1,0.7,0.7,0.936,17.4,1
72.6,157.0,1.0,10.89,591.5100978,1.0,6.9,1.0,95.0,6.41,95.0,0.1,2.1,2.2,0.755,13.5,1
46.4,622.0,5.0,2.95,3.53457351,0.0,25.9,7.0,84.0,6.91,84.0,32.5,1.6,1.6,0.446,10.4,0
78.9,93.0,1.0,4.2,150.8891479,0.0,52.4,1.0,89.0,8.37,89.0,0.1,1.9,1.9,0.734,12.8,0
67.1,189.0,30.0,1.6,48.50941741,80.0,34.8,36.0,99.0,5.29,99.0,0.1,3.4,3.4,0.0,10.6,0
73.1,19.0,0.0,10.85,0.0,0.0,56.0,0.0,93.0,5.26,94.0,0.1,2.6,2.6,0.781,12.1,0
76.0,147.0,32.0,0.01,429.6625083,15.0,57.2,39.0,7.0,5.26,69.0,0.1,5.3,5.1,0.656,10.5,0
79.7,71.0,0.0,1.45,204.2481892,96.0,29.9,0.0,95.0,3.17,95.0,0.1,2.1,2.0,0.82,12.7,1
58.1,329.0,8.0,0.01,54.37396957,34.0,26.7,11.0,49.0,1.4,5.0,0.9,6.7,6.5,0.426,9.9,0
69.7,28.0,7.0,5.71,289.7418649,0.0,48.2,8.0,86.0,4.26,87.0,2.0,3.5,3.4,0.668,12.6,0
73.9,157.0,2.0,3.63,334.8174246,0.0,51.7,3.0,99.0,8.4,98.0,0.1,1.8,1.7,0.625,11.5,0
64.8,214.0,0.0,0.48,10.6242741,0.0,71.4,0.0,61.0,1.39,62.0,0.1,0.2,0.2,0.0,12.4,0
73.9,128.0,1.0,4.7,9.444875415,1356.0,48.6,1.0,82.0,8.6,82.0,0.1,2.8,2.9,0.703,12.2,0
66.6,16.0,9.0,0.65,35.09462644,210.0,42.1,11.0,75.0,4.67,76.0,0.1,3.2,3.1,0.636,10.1,0
79.1,9.0,0.0,10.52,3505.389434,0.0,56.4,0.0,96.0,9.38,96.0,0.1,1.7,1.7,0.873,16.9,1
78.0,1.0,0.0,8.94,2775.33544,1.0,56.1,0.0,95.0,7.43,98.0,0.1,0.9,0.8,0.856,17.7,0
67.8,155.0,174.0,0.01,38.05462002,25934.0,12.5,231.0,94.0,2.68,93.0,0.1,19.9,2.5,0.499,8.2,0
72.5,163.0,5.0,3.23,203.7134882,0.0,42.8,6.0,98.0,7.81,98.0,0.9,2.5,2.4,0.577,10.6,0
75.4,14.0,0.0,7.82,149.3587355,0.0,43.8,0.0,98.0,4.86,99.0,0.1,3.4,3.3,0.788,14.2,0
47.7,539.0,115.0,10.57,26.97625217,48543.0,13.3,187.0,56.0,7.26,55.0,10.8,6.9,6.9,0.396,10.8,0
