Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP,Population, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling,Status
59.2,48.0,43.0,7.38,1089.954838,68.0,32.0,48.7,56.0,65.0,8.79,65.0,7.6,7548.163698,5256515.8,6.0,7.3,0.644,12.8,Developing
79.0,92.0,0.0,12.35,3652.869332,97.0,1.0,56.5,0.0,97.0,9.9,97.0,0.1,24815.6884,1558177.0,0.7,0.5,0.804,15.8,Developed
48.7,371.0,84.0,7.07,249.9101958,69.0,265.0,19.3,133.0,65.0,3.84,69.0,2.6,3868.578883,2175942.0,9.5,9.4,0.468,8.1,Developing
71.2,194.0,17.0,5.92,176.0625201,95.0,7319.0,19.4,20.0,97.0,3.32,96.0,0.8,1893.145377,63543322.0,9.3,9.6,0.649,11.2,Developing
79.3,66.0,0.0,8.84,2380.699796,86.0,1.0,65.6,0.0,83.0,8.93,85.0,0.1,16671.5672,4538.0,0.7,0.7,0.809,14.8,Developed
74.9,13.0,3.0,1.29,594.6453102,98.0,16.0,59.3,3.0,98.0,7.26,98.0,0.1,4199.47253,1114558.0,6.4,6.3,0.72,14.7,Developing
61.8,261.0,162.0,1.34,67.73374413,62.0,4235.0,15.6,243.0,69.0,6.86,61.0,1.7,341.39992,877267.0,11.0,1.7,0.401,8.1,Developing
57.4,321.0,22.0,4.16,3.595980333,96.0,129.0,16.6,33.0,95.0,8.58,96.0,1.5,26.479973,94358.0,7.6,7.6,0.385,9.9,Developing
56.5,285.0,25.0,1.13,7.106997355,7.0,210.0,2.5,39.0,73.0,4.73,7.0,2.1,61.799977,7982225.0,8.7,8.6,0.43,8.5,Developing
57.5,279.0,43.0,4.55,90.46018236,91.0,2511.0,16.6,74.0,9.0,7.17,91.0,1.0,575.4464527,1565217.0,9.0,8.6,0.365,6.3,Developing
72.7,163.0,75.0,6.97,23.76370075,98.0,6.0,47.8,85.0,99.0,8.27,99.0,0.1,477.182746,186917361.0,3.2,3.1,0.694,13.8,Developing
